No,HTTP Method,Path,Functional Area,Release (R1/R2),Your Notes
38,POST,/cylinderDelivery,Cylinder Delivery,R1,
39,GET,/vehicleLoad,Vehicle Load,R1,
40,POST,/vehicleLoad,Vehicle Load,R1,
41,GET,/registerCustomer,Customer Registration,R1,
42,POST,/registerCustomer,Customer Registration,R1,
43,GET,/wizard/vehicle-trip-load,Vehicle Trip / Load Wizard,R1,
44,POST,/wizard/vehicle-trip-load/save,Vehicle Trip / Load Wizard,R1,
45,GET,/displayCustomer,Customer Maintenance,R1,
46,GET,/fetchCustomerByPage,Customer Maintenance,R1,
47,POST,/updateCustomer,Customer Maintenance,R1,
48,POST,/add-stop/challan-page-photo/delete-ajax,Add Stop / Challan Photos,R1,
49,POST,/add-stop/challan-page-photo/upload,Add Stop / Challan Photos,R1,
50,POST,/add-stop/challan-page-photo/upload-ajax,Add Stop / Challan Photos,R1,
51,GET,/add-stop,Add Stop / Challan Photos,R1,
52,GET,/trip-return,Trip Return,R1,
53,POST,/trip-return,Trip Return,R1,
54,GET,/customer-demands,Customer Demand,R1,
55,POST,/customer-demands,Customer Demand,R1,
56,POST,/customer-demands/{requestId}/mark-delivered,Customer Demand,R1,
57,GET,/trip-review,Trip Review,R1,
58,GET,/trip-review/{vehicleTripId},Trip Review,R1,
59,GET,/fetchSupplierByPage,Supplier Maintenance,R1,
60,GET,/vehicle-loads/list,Vehicle Load / Trip Listing,R1,
61,GET,/vehicle-loads/all-list,Vehicle Load / Trip Listing,R1,
62,GET,/vehicle-trips/list,Vehicle Load / Trip Listing,R1,
63,GET,/party-custody-traceability,Party Custody,R1,
64,GET,/reconciliation-command-center,Reconciliation Command Center,R2,
65,GET,/reconciliation-command-center/details,Reconciliation Command Center,R2,
66,GET,/ownership-dashboard,Ownership Dashboard,R2,
67,GET,/ownership-dashboard/yard,Ownership Dashboard,R1,
68,GET,/ownership-dashboard/customer,Ownership Dashboard,R1,
69,GET,/ownership-dashboard/supplier,Ownership Dashboard,R1,
70,GET,/ownership-dashboard/logistics,Ownership Dashboard,R1,
71,GET,/delivery-planning/demand-points.geojson,Delivery Planning APIs,R2,
72,GET,/delivery-planning/demand-bubbles.geojson,Delivery Planning APIs,R2,
73,GET,/delivery-planning/customer-density-bubbles.geojson,Delivery Planning APIs,R2,
74,GET,/delivery-planning/stops,Delivery Planning APIs,R2,
75,GET,/delivery-planning/stops/{stopId}/nearby-customers,Delivery Planning APIs,R2,
76,GET,/delivery-planning/customer-coverage.geojson,Delivery Planning APIs,R2,
77,GET,/delivery-planning/stops.geojson,Delivery Planning APIs,R2,
78,POST,/setCustomerInactive,Customer Activation,R1,
79,POST,/setCustomerActive,Customer Activation,R1,
80,GET,/ingestSupplier,Supplier Registration,R1,
81,POST,/ingestSupplier,Supplier Registration,R1,
82,GET,/ingestYardStockCheck,Yard Stock Check,R1,
83,POST,/ingestYardStockCheck,Yard Stock Check,R1,
84,POST,/trip-review/{vehicleTripId}/close-review,Trip Review Closure,R1,
85,POST,/stop,Customer / Supplier Stop Processing,R1,
86,GET,/search/address/customer-address/{customerId},Address REST Services,R1,
87,GET,/search/addresstype/{searchText},Address REST Services,R1,
88,GET,/search/challantype/{searchText},Challan Type REST Service,R1,
89,GET,/search/city/{searchText},Geography REST Services,R1,
90,GET,/search/country/{searchText},Geography REST Services,R1,
91,GET,/search/customer/{searchText},Customer REST Service,R1,
92,GET,/search/driver/{searchText},Driver REST Services,R1,
93,GET,/find/Driver-by-Id/{driverId},Driver REST Services,R1,
94,GET,/search/cylinder/{searchText},Cylinder REST Services,R1,
95,POST,/search/cylinder/by-serial-and-state,Cylinder REST Services,R1,
96,POST,/search/cylinder/by-customer,Cylinder REST Services,R1,
97,POST,/search/cylinder/by-supplier,Cylinder REST Services,R1,
98,GET,/search/product-category/{searchText},Product REST Services,R1,
99,GET,/search/product/{searchText},Product REST Services,R1,
100,GET,/search/product-uom/{searchText},Product REST Services,R1,
101,GET,/search/state/{searchText},State / Supplier Search,R1,
102,GET,/search/supplier/{searchText},State / Supplier Search,R1,
103,GET,/search/vehicle/{searchText},Vehicle REST Services,R1,
104,GET,/find/Vehicle-by-Id/{vehicleId},Vehicle REST Services,R1,
105,POST,/search/cylinder/ownership/by-state,Ownership-Aware Cylinder Search,R1,
106,POST,/search/cylinder/by-state,Ownership-Aware Cylinder Search,R1,
107,POST,/search/cylinder/on-vehicle,Ownership-Aware Cylinder Search,R1,
108,GET,/domainLookup,Domain Lookup / Master Data,R1,
109,POST,/domainLookup/productCategory/save,Domain Lookup / Master Data,R1,
110,POST,/domainLookup/productUom/save,Domain Lookup / Master Data,R1,
111,POST,/domainLookup/product/save,Domain Lookup / Master Data,R1,
112,POST,/domainLookup/cylinder/save,Domain Lookup / Master Data,R1,
113,POST,/domainLookup/vehicle/save,Domain Lookup / Master Data,R1,
114,POST,/domainLookup/driver/save,Domain Lookup / Master Data,R1,
115,GET,/delivery-planning,Delivery Planning Pages,R2,
116,GET,/delivery-planning/dashboard,Delivery Planning Pages,R2,
117,GET,/delivery-planning/customer-density-bubble-map,Delivery Planning Pages,R2,
118,GET,/delivery-planning/weekly-forecast,Delivery Planning Pages,R2,
119,GET,/delivery-planning/stops/manage,Delivery Planning Stop Management,R2,
120,GET,/delivery-planning/stops/manage/,Delivery Planning Stop Management,R2,
121,POST,/delivery-planning/stops/manage/save,Delivery Planning Stop Management,R2,
122,POST,/delivery-planning/stops/manage/save-selected,Delivery Planning Stop Management,R2,
123,POST,/delivery-planning/stops/manage/remove,Delivery Planning Stop Management,R2,
124,GET,/reconciliation-dashboard,Reconciliation Dashboard,R2,
125,POST,/reconciliation-dashboard/search,Reconciliation Dashboard,R2,
126,GET,/vehicle-load/fetch,Vehicle Load Details,R1,
127,GET,/lookup,Lookup Management,R1,
128,GET,/lookupManagement,Lookup Management,R1,
129,POST,/lookupManagement/addressType/save,Lookup Management,R1,
130,POST,/lookupManagement/country/save,Lookup Management,R1,
131,POST,/lookupManagement/state/save,Lookup Management,R1,
132,POST,/lookupManagement/city/save,Lookup Management,R1,
133,GET,/addVechileTrip,Vehicle Trip Ingestion,R1,
134,POST,/addVechileTrip,Vehicle Trip Ingestion,R1,
