story_id,source_no,http_method,path,functional_area,release,review_priority,review_state,approval_status,traceability_state
STORY-0103,103,GET,/search/vehicle/{searchText},Search,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0104,104,GET,/find/Vehicle-by-Id/{vehicleId},Search,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0105,105,POST,/search/cylinder/ownership/by-state,Search,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0106,106,POST,/search/cylinder/by-state,Search,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0107,107,POST,/search/cylinder/on-vehicle,Search,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0108,108,GET,/domainLookup,Domain Lookup,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0109,109,POST,/domainLookup/productCategory/save,Domain Lookup,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0110,110,POST,/domainLookup/productUom/save,Domain Lookup,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0111,111,POST,/domainLookup/product/save,Domain Lookup,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0112,112,POST,/domainLookup/cylinder/save,Domain Lookup,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0113,113,POST,/domainLookup/vehicle/save,Domain Lookup,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0114,114,POST,/domainLookup/driver/save,Domain Lookup,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0115,115,GET,/delivery-planning,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0116,116,GET,/delivery-planning/dashboard,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0117,117,GET,/delivery-planning/customer-density-bubble-map,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0118,118,GET,/delivery-planning/weekly-forecast,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0119,119,GET,/delivery-planning/stops/manage,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0120,120,GET,/delivery-planning/stops/manage/,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0121,121,POST,/delivery-planning/stops/manage/save,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0122,122,POST,/delivery-planning/stops/manage/save-selected,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0123,123,POST,/delivery-planning/stops/manage/remove,Delivery Planning,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0124,124,GET,/reconciliation-dashboard,Reconciliation,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0125,125,POST,/reconciliation-dashboard/search,Reconciliation,R2,2,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0126,126,GET,/vehicle-load/fetch,Vehicle Loads,R1,1,READY_FOR_USER_REVIEW,PENDING_USER_APPROVAL,COMPLETE
STORY-0127,127,GET,/lookup,Lookup,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0128,128,GET,/lookupManagement,Lookup Management,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0129,129,POST,/lookupManagement/addressType/save,Lookup Management,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0130,130,POST,/lookupManagement/country/save,Lookup Management,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0131,131,POST,/lookupManagement/state/save,Lookup Management,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0132,132,POST,/lookupManagement/city/save,Lookup Management,R1,1,READY_FOR_USER_REVIEW,APPROVED_AFTER_REWORK,COMPLETE
STORY-0133,133,GET,/addVechileTrip,Vehicle Trip,R1,1,SUPERSEDED_NOT_NEEDED,NOT_NEEDED_SUPERSEDED,COMPLETE
STORY-0134,134,POST,/addVechileTrip,Vehicle Trip,R1,1,SUPERSEDED_NOT_NEEDED,NOT_NEEDED_SUPERSEDED,COMPLETE
